621 2781 2923 2445 3422 621 1
622 2382 2683 3176 3615 622 1
623 2374 3440 3029 3706 623 1
624 2810 2818 2478 4188 624 1
625 2597 2807 2376 3017 625 1
626 2817 2397 3546 3551 626 1
627 3427 3674 2987 4025 627 1
628 2852 2909 2448 3377 628 1
629 2554 3774 2714 4297 629 1
630 2868 3664 2858 4023 630 1
631 2410 3636 2575 3713 631 1
632 990 3499 3122 3627 632 1
633 1776 2625 1559 3334 633 1
634 2933 3278 2579 4462 634 1
635 2977 3725 2790 3958 635 1
636 2344 2630 3212 3924 636 1
637 2365 3120 3066 3926 637 1
638 2743 2938 2402 2953 638 1
639 2478 3206 2746 3597 639 1
640 750 818 3287 4014 640 1
641 2894 3390 2450 3534 641 1
642 2923 2746 3422 4438 642 1
643 2991 3126 3105 4028 643 1
644 3261 2564 3897 3923 644 1
645 2390 3042 3019 3468 645 1
646 2730 3421 3785 3853 646 1
647 3034 4131 2385 4268 647 1
648 2484 2780 3150 3861 648 1
649 2551 2712 2436 3838 649 1
650 1164 3109 2668 3931 650 1
651 1675 1547 3371 3950 651 1
652 2594 1687 3116 3288 652 1
653 2441 2672 2963 2987 653 1
654 2703 2540 3041 3963 654 1
655 2513 2702 3403 3893 655 1
656 2582 3126 2796 3134 656 1
657 1558 2560 4165 4305 657 1
658 2688 2507 3265 4245 658 1
659 1402 2821 3113 4378 659 1
660 3500 4393 2768 4439 660 1
661 2416 2959 2830 3370 661 1
662 3114 2750 3676 3937 662 1
663 2547 3427 2801 3674 663 1
664 1307 2742 3238 3409 664 1
665 2513 3403 2972 3768 665 1
666 2594 3116 2952 3288 666 1
667 2586 3398 2727 4113 667 1
668 2867 2882 2709 4288 668 1
669 3261 3286 2564 3923 669 1
670 2380 3277 3170 3664 670 1
671 3168 3204 2711 3922 671 1
672 3398 4113 2586 4385 672 1
673 2576 3701 3035 3727 673 1
674 2656 2763 2381 2907 674 1
675 510 3191 2824 4269 675 1
676 2849 2948 2620 3920 676 1
677 3684 3829 2995 4281 677 1
678 2408 3396 2608 3828 678 1
679 2773 2704 3415 3446 679 1
680 2886 3008 2833 3667 680 1
681 26 3012 1737 3342 681 1
682 1410 2514 3196 3244 682 1
683 3120 3307 2840 3360 683 1
684 2578 3049 2682 3919 684 1
685 2977 3578 3345 4049 685 1
686 526 3322 2928 3763 686 1
687 2348 3394 2647 3976 687 1
688 2390 2768 4393 4439 688 1
689 2857 3057 414 3065 689 1
690 2343 2921 3021 3506 690 1
691 2903 3573 2725 3940 691 1
692 3116 3288 1687 4105 692 1
693 2777 2379 3648 3890 693 1
694 482 3437 3331 3945 694 1
695 2565 2645 3266 4445 695 1
696 2438 3362 2515 4043 696 1
697 2425 2772 3589 4107 697 1
